Version, File Name, LOC, NAuth, Fan-Out, Revisions, LOCAdded, MaxLOCAdded, averageLOCAdded, Churn, MaxChurn, AverageChurn, Time Span (days), Buggy
1, storm-core/src/jvm/backtype/storm/topology/BasicBoltExecutor.java, 49, 2, 6, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/backtype/storm/security/auth/ThriftClient.java, 62, 2, 11, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/backtype/storm/metric/MetricsConsumerBolt.java, 47, 2, 9, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/backtype/storm/generated/DRPCExecutionException.java, 328, 2, 15, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/backtype/storm/testing/BatchProcessWord.java, 22, 2, 6, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/backtype/storm/planner/CompoundTask.java, 7, 2, 0, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/backtype/storm/generated/SupervisorSummary.java, 706, 2, 15, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/backtype/storm/ConfigValidation.java, 89, 3, 1, 5, 108, 82, 21.6, 96, 82, 19.2, 20, true
1, storm-core/src/jvm/backtype/storm/scheduler/INimbus.java, 22, 2, 3, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/storm/trident/topology/MasterBatchCoordinator.java, 268, 2, 19, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/backtype/storm/topology/OutputFieldsGetter.java, 35, 2, 5, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-netty/src/jvm/backtype/storm/messaging/netty/StormClientHandler.java, 111, 2, 12, 11, 316, 111, 28.727272, 240, 111, 21.818182, 28, false
1, storm-core/src/jvm/backtype/storm/security/auth/AuthUtils.java, 81, 2, 12, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/storm/trident/state/BaseStateUpdater.java, 8, 2, 1, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/backtype/storm/grouping/CustomStreamGrouping.java, 26, 2, 4, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/backtype/storm/serialization/types/HashMapSerializer.java, 15, 2, 5, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/backtype/storm/topology/base/BaseComponent.java, 11, 2, 2, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/storm/trident/planner/ProcessorContext.java, 12, 2, 0, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
1, storm-core/src/jvm/backtype/storm/generated/BoltStats.java, 1111, 2, 15, 3, 0, 0, 0.0, 0, 0, 0.0, 2, false
