Version, File Name, LOC, NAuth, NFix, Revisions, LOCAdded, MaxLOCAdded, averageLOCAdded, Churn, MaxChurn, AverageChurn, Age, Buggy
0, hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryManager.java, 30, 2, 0, 2, 51059, 1734, 26.496628, 52845, 1732, 27.423456, 0, true
0, hedwig-client/src/main/java/org/apache/hedwig/util/PathUtils.java, 57, 1, 0, 1, 41546, 1252, 147.85054, 41546, 1252, 147.85054, 0, true
0, bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/FileInfo.java, 205, 5, 0, 5, 10331, 1734, 5.322514, 11882, 1732, 6.121587, 0, true
0, bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServer.java, 394, 11, 0, 11, 15743, 1734, 6.3736844, 17246, 1732, 6.9821863, 0, true
0, hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryEndPoint.java, 29, 1, 0, 1, 41546, 1252, 147.85054, 41546, 1252, 147.85054, 0, false
0, hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeReconnectCallback.java, 115, 4, 0, 4, 51785, 1734, 22.913717, 53224, 1732, 23.550442, 0, true
0, bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/Bookie.java, 1027, 14, 0, 14, 16266, 1734, 6.434335, 17712, 1732, 7.006329, 0, true
0, hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigClientImpl.java, 370, 1, 0, 1, 240, 72, 2.3762376, 127, 72, 1.2574258, 0, true
0, hedwig-client/src/main/java/org/apache/hedwig/util/CallbackUtils.java, 184, 4, 0, 4, 51616, 1734, 23.31346, 53175, 1732, 24.017614, 0, false
0, hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConsumeHandler.java, 59, 2, 0, 2, 42032, 1252, 81.93372, 41798, 1252, 81.477585, 0, false
0, bookkeeper-server/src/main/java/org/apache/bookkeeper/client/BookKeeperAdmin.java, 729, 6, 0, 6, 6552, 714, 7.990244, 6987, 714, 8.520732, 0, true
0, hedwig-client/src/main/java/org/apache/hedwig/client/api/Client.java, 42, 1, 0, 1, 240, 72, 2.3762376, 127, 72, 1.2574258, 0, false
